Country Name	Country Code	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
United Kingdom	GBR	23829.2235	24573.70818	25263.97765	27440.99785	28821.50555	30085.64992	31181.32492	33082.40241	34623.20514	36885.96843	37503.22375	37775.87739	36361.88469	35879.79939	36590.15937	37569.31528	39111.23264	40217.16375	41324.55633
Georgia	GEO	2227.538901	2344.546744	2467.865217	2590.318568	2796.855796	3015.447723	3460.150847	3813.189314	4370.338613	4991.617909	5833.183782	6163.757923	6054.18918	6597.568557	7315.090898	8026.50713	8543.080411	9204.318673	9679.187611
Ghana	GHA	1622.291798	1678.718097	1739.193885	1801.414609	1869.605841	1934.169986	2022.458663	2138.098453	2277.11343	2433.306078	2539.986328	2754.883755	2837.014241	3021.484976	3430.857389	3726.643939	3968.056448	4096.584494	4200.547102
Guinea	GIN	818.6006554	840.863357	870.9270816	897.2866291	934.6752314	980.677489	994.4690338	1025.484863	1067.176894	1101.311518	1121.685385	1168.519104	1142.493636	1147.084986	1183.855846	1219.547152	1233.98142	1225.744058	1206.529509
"Gambia, The"	GMB	1108.775335	1127.792878	1183.693401	1239.85596	1301.171386	1238.551908	1307.373367	1392.266871	1378.258458	1391.004943	1432.975327	1495.875866	1553.394439	1621.4316	1532.494004	1599.179616	1648.427687	1636.453571	
Guinea-Bissau	GNB	1351.885477	961.581862	965.3972504	1019.007441	1042.697406	1026.335638	1030.710086	1065.417971	1122.331789	1158.335766	1200.964801	1236.286756	1258.319756	1299.726301	1416.311777	1382.504336	1382.288548	1405.989893	1452.845457
Equatorial Guinea	GNQ	5298.588225	6409.164324	7906.196436	9242.915347	14935.68549	17521.07739	19701.16837	27039.61151	31560.34268	33959.20665	37954.17928	41267.13367	38519.9874	36389.84806	36754.81047	38416.16352	35432.26912	34870.57987	30040.65107
Greece	GRC	17059.31941	17631.4848	18265.38848	19285.44215	20900.33121	22718.56838	23806.53402	25425.60073	25396.23397	28272.69422	29305.82232	31161.5304	30652.21209	28981.41834	26626.46005	25980.08652	26753.12651	26794.74875	26680.08546
Grenada	GRD	6130.093961	6590.46297	7355.20887	7649.96964	7648.712433	8013.328394	8922.936652	9083.555118	10589.96245	10445.51878	11347.02395	11640.41651	10914.85828	10951.88411	11221.36234	11252.55682	11657.90848	12470.38953	12966.94537
Guatemala	GTM	4348.637154	4505.504682	4637.178907	4796.211112	4899.196859	5042.345421	5146.756256	5326.040236	5544.964046	5885.934894	6280.308986	6468.71338	6410.637712	6532.757614	6798.842734	6981.506844	7206.660238	7476.092384	7706.738719
Guyana	GUY	3504.332015	3465.490687	3608.957282	3630.312326	3791.759291	3890.723888	3931.431099	4174.70205	4222.810265	4568.370074	5006.187118	5188.181989	5381.980363	5666.104562	6077.186038	6465.612628	6890.291231	7245.244693	7506.445072
High income	HIC	24151.06127	24938.10281	25975.12114	27592.54743	28548.09991	29435.17137	30413.3585	32104.42039	33783.68493	35980.15723	37767.04617	38643.42563	37642.93376	38977.50585	40449.43037	41607.34486	42765.33831	43795.86955	44695.99266
"Hong Kong SAR, China"	HKG	25399.20141	23963.60059	24703.12575	26962.69676	27528.18151	28288.2698	29792.93093	33016.92802	36437.58668	39940.92275	43281.02137	44800.23861	43935.69283	47134.56085	50085.95933	51274.06031	53464.92651	55346.55581	56719.49847
Honduras	HND	2622.949312	2669.215947	2602.822647	2757.106279	2838.432976	2931.453008	3065.806785	3283.477157	3527.934934	3804.977338	4074.296097	4255.012759	4113.030501	4249.093103	4433.71931	4632.095108	4769.396987	4926.616329	5084.470463
Heavily indebted poor countries (HIPC)	HPC	1054.607814	1073.418148	1094.745172	1121.900376	1164.621015	1189.693028	1233.516891	1297.502844	1384.357987	1475.221323	1573.264408	1656.351073	1698.305992	1770.354348	1847.401439	1936.196517	2025.436982	2115.675575	2180.720539
Croatia	HRV	9712.827873	10207.83838	10102.16579	11054.42108	11793.20023	12740.11212	13644.6132	14643.25253	15535.44071	17009.21993	18921.62474	20464.41821	19393.11141	18981.99564	20571.27528	21016.01873	21441.87095	21635.10503	21880.48421
Haiti	HTI		1326.831306	1359.443107	1378.790371	1372.49201	1367.549781	1377.75884	1344.571735	1390.705746	1442.973527	1507.278187	1526.153627	1561.374256	1471.648649	1562.304129	1614.085821	1686.731694	1738.914123	1762.17364
Hungary	HUN	10047.579	10770.70398	11237.67654	12085.37602	13646.53812	14918.39832	15641.31287	16461.94876	17314.47611	18652.60671	19337.16657	20810.7852	20860.55716	21576.70695	22603.20272	22701.45022	24037.17045	25060.50529	25581.50351
IBRD only	IBD	3840.045618	3950.676884	4116.722967	4404.035979	4617.379727	4839.649119	5172.788662	5675.139951	6249.803813	6992.959225	7746.505228	8369.987854	8639.621154	9344.157563	10113.58651	10721.44351	11242.84877	11870.66448	12341.46964
IDA & IBRD total	IBT	3317.671977	3406.918677	3539.422236	3771.528708	3944.756312	4120.32747	4390.277626	4813.675607	5277.539769	5872.187599	6471.337038	6959.419147	7170.353938	7715.417578	8306.435796	8775.204362	9182.116432	9669.79931	10028.56705
IDA total	IDA	1553.332193	1588.913799	1627.780796	1697.537387	1763.265498	1812.500814	1907.520374	2113.49306	2262.640155	2432.950431	2600.574374	2725.017738	2812.734848	2941.729391	3073.392726	3208.726218	3363.187125	3534.134792	3661.599239
IDA blend	IDB	2257.700269	2309.746531	2361.084457	2479.118621	2565.339858	2649.847179	2813.869757	3232.108668	3461.867155	3739.432268	3991.684584	4169.966325	4316.977728	4516.443521	4742.564812	4964.536537	5199.076365	5475.862056	5672.468679
Indonesia	IDN	4976.45619	4308.541085	4347.999318	4601.849359	4812.061278	5037.167516	5311.400764	5655.993914	6088.879231	6534.27416	7040.66979	7511.417369	7815.70713	8294.05435	8870.284189	9453.698228	10011.34642	10553.18735	11035.09244
IDA only	IDX	1125.664371	1153.318571	1187.275369	1229.492851	1286.674922	1317.494794	1373.919117	1452.973779	1558.354499	1668.686783	1790.603404	1887.585306	1943.592251	2034.420308	2113.568357	2202.270576	2314.772114	2428.538666	2520.908978
India	IND	1674.869744	1764.878225	1915.390649	1998.488658	2105.841013	2182.244557	2361.334849	2576.537621	2860.885701	3172.707329	3484.756463	3637.756094	3920.160542	4315.440046	4634.945162	4921.842308	5267.826611	5672.189444	6088.64983
Ireland	IRL	22091.62548	24503.55244	26530.67953	29612.17021	31773.72281	34440.58422	36023.46831	38144.6756	40446.92367	43963.95594	46735.75107	43902.12233	41866.49933	43249.55945	45673.5345	46063.34459	47599.6817	49376.84343	54654.39746
"Iran, Islamic Rep."	IRN	8603.933181	8712.140303	8860.448528	9435.981839	9739.503969	10548.37795	11547.40372	12236.62544	13011.73786	14016.40034	15526.55584	15798.96459	16100.89151	17163.07927	17949.24442	16853.78282	16584.31251	17365.77894	
Iraq	IRQ	6261.992841	8274.354902	9581.242071	9647.867025	9810.552687	9019.144263	5989.182462	9237.933315	9697.903736	10733.44505	10893.2098	11715.84706	11875.01418	12417.76967	13203.0478	14813.56491	15503.62904	14914.65466	14894.81115
Iceland	ISL	26644.46314	28362.78062	29218.77568	29600.33339	31263.13248	31976.22747	31726.86404	34949.10237	35881.01506	36728.6331	38704.23513	41366.67099	39912.27121	38615.33919	39557.93565	40278.38704	42714.60426	43993.29286	46546.97713
Israel	ISR	21373.81258	22015.16782	22604.38227	24923.88603	24958.17852	25218.39625	23794.50309	25248.86271	24885.21849	25766.9761	27581.40696	27516.22992	27558.18795	28900.91974	30574.25236	31993.62384	33382.11127	33703.42504	35431.60897
Italy	ITA	23434.2773	24660.12295	25158.419	26640.21701	28246.79832	27898.47061	28462.03713	28770.96727	29652.75637	31953.46035	33711.95279	35170.89646	34142.3385	34714.52686	35870.71377	35899.77997	35707.83111	35419.39531	35896.46144
Jamaica	JAM	6304.288725	6168.647111	6285.619237	6447.320491	6641.47013	6852.607695	7219.435994	7489.179444	7771.348676	8212.997428	8521.989608	8595.876228	8248.702011	8196.27943	8481.245974	8560.087132	8725.173363	8910.175324	9062.516068
Jordan	JOR	5523.510749	5656.067113	5849.663243	6136.91822	6494.909685	6851.293727	7129.321426	7754.094946	8395.072853	9019.720151	9618.181469	10077.61523	10271.31861	10229.91751	10324.44669	10432.1751	10569.17544	10774.86823	10880.32008
Japan	JPN	24626.41689	24328.82033	24606.92071	25938.19789	26559.53156	27241.10303	27941.17634	29377.34366	30441.34808	31790.65526	33313.86533	33495.17807	31857.37223	33760.97681	34335.30402	35735.61672	36618.30632	36577.21061	37321.60199
Kazakhstan	KAZ	6871.824239	6933.063834	7298.407372	8220.673645	9559.340336	10656.84509	11840.2999	13241.46074	14860.58945	16777.68761	18543.81926	19295.00553	19162.93571	20521.09849	22134.09211	23248.99259	24640.55805	25689.22066	25876.50868
Kenya	KEN	1651.440248	1682.157691	1704.797461	1710.876774	1770.558985	1761.750776	1802.214527	1896.195018	2019.359786	2158.893935	2306.86625	2296.312423	2327.843369	2487.224552	2622.730169	2718.986459	2843.773361	2965.155487	3082.517991
Kyrgyz Republic	KGZ	1464.048394	1488.331305	1543.245479	1644.311973	1754.55434	1764.905162	1906.55626	2071.417491	2110.377936	2218.727934	2448.899199	2681.122187	2746.102655	2733.729337	2920.60321	2922.702873	3229.828815	3347.16262	3426.645611
Cambodia	KHM	871.214874	900.7307851	998.8246051	1086.552577	1176.442768	1250.965446	1360.912011	1518.086216	1746.878825	1964.211764	2189.504168	2346.803965	2331.425309	2462.45279	2648.650018	2846.657445	3058.668487	3274.560732	3483.326713
Kiribati	KIR	1155.712035	1274.83025	1274.198654	1402.786616	1420.409966	1425.883255	1486.565004	1547.129531	1563.328575	1507.245213	1628.200741	1669.004085	1635.130871	1613.41845	1659.293952	1705.439184	1753.129165	1815.641712	1858.645369
St. Kitts and Nevis	KNA	13868.34435	13766.57127	14274.96241	15128.53376	16007.39445	16298.39594	15946.24064	16876.2792	18755.16948	20190.08607	21041.22294	22065.15207	20734.82683	20064.42589	20571.97012	20442.6292	21721.46902	23326.14339	24369.38011
